"행정구역(시군구)별","성별","연령별","항목","단위","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"서울특별시","계","계","순이동[명]","명","-106421","-68968","-47204","-51007","-36551","-52883","-57994","-52264","-115023","-113058","-103647","-100550","-87831","-137256","-140257","-98486","-110230","-49588","-64850","-106243",
"서울특별시","계","0 - 4세","순이동[명]","명","-20289","-15253","-9173","-12007","-11737","-12848","-12283","-11829","-16661","-15633","-14484","-14408","-13291","-16056","-17047","-13658","-15742","-9989","-8998","-9271",
"서울특별시","계","5 - 9세","순이동[명]","명","-3014","-3587","-883","-2407","-2163","-3226","-2221","-2795","-5803","-5157","-5395","-5451","-4820","-6688","-7590","-5716","-7502","-3383","-4374","-5581",
"서울특별시","계","10 - 14세","순이동[명]","명","3965","4578","4869","3419","3927","2446","2559","2260","-890","-1166","-2325","-1828","-1312","-2778","-3315","-1952","-3008","-776","-1481","-2777",
"서울특별시","계","15 - 19세","순이동[명]","명","695","1204","3344","3292","3455","2410","2574","2658","-26","-677","-45","154","2176","836","564","2641","2911","4867","3436","2020",
"서울특별시","계","20 - 24세","순이동[명]","명","16796","15506","16420","18074","20748","19809","16938","16083","12065","12929","16046","15632","18336","14671","17580","21174","23981","28520","27835","25335",
"서울특별시","계","25 - 29세","순이동[명]","명","-12502","-517","-3202","-1235","3636","6817","6649","5927","-84","2678","5761","5347","7964","3119","4983","10781","15360","19046","16988","10185",
"서울특별시","계","30 - 34세","순이동[명]","명","-27130","-23421","-20854","-21588","-19578","-21438","-18805","-16780","-26699","-24099","-23104","-23948","-21747","-25500","-23804","-16522","-17049","-10863","-10794","-20099",
"서울특별시","계","35 - 39세","순이동[명]","명","-8135","-7779","-7430","-9007","-8911","-11655","-12613","-13368","-21558","-20041","-18925","-18075","-17217","-22897","-23892","-20343","-25472","-17678","-17989","-21727",
"서울특별시","계","40 - 44세","순이동[명]","명","-5838","-3052","-2733","-2265","-912","-2897","-3540","-4004","-9282","-10478","-11102","-10394","-10703","-14235","-14977","-11606","-14625","-9282","-11205","-14293",
"서울특별시","계","45 - 49세","순이동[명]","명","-10521","-7237","-5425","-4745","-3801","-5498","-5898","-4797","-8320","-8307","-8435","-7876","-7538","-10591","-12288","-10034","-11834","-8603","-9847","-11487",
"서울특별시","계","50 - 54세","순이동[명]","명","-10785","-7820","-6188","-5725","-5168","-6845","-7451","-6628","-9563","-10495","-10795","-9312","-8570","-11622","-12484","-10367","-10902","-8698","-10261","-12675",
"서울특별시","계","55 - 59세","순이동[명]","명","-10597","-7409","-5791","-5808","-5365","-6537","-7087","-6007","-8807","-10013","-10143","-9635","-9861","-13840","-14907","-12434","-13409","-9810","-10150","-12063",
"서울특별시","계","60 - 64세","순이동[명]","명","-8882","-7134","-5124","-5257","-4973","-5231","-7073","-5392","-7607","-8090","-7685","-7525","-7401","-11408","-12215","-10995","-11790","-8060","-9750","-12263",
"서울특별시","계","65 - 69세","순이동[명]","명","-5152","-3671","-2906","-3428","-3463","-4041","-5481","-3919","-5410","-6060","-5670","-5589","-5743","-8460","-8717","-7751","-7918","-5551","-6821","-7987",
"서울특별시","계","70 - 74세","순이동[명]","명","-2482","-1692","-1087","-1518","-1754","-2137","-2599","-2215","-3360","-4228","-3802","-3837","-4180","-6021","-5749","-5294","-5461","-3851","-4710","-5263",
"서울특별시","계","75 - 79세","순이동[명]","명","-1358","-873","-583","-442","-56","-910","-927","-886","-1699","-2416","-1962","-2318","-2298","-3267","-3479","-3484","-3999","-2645","-3452","-3590",
"서울특별시","계","80세이상","순이동[명]","명","-1192","-811","-458","-360","-436","-1102","-736","-572","-1319","-1805","-1582","-1487","-1626","-2519","-2920","-2926","-3771","-2832","-3277","-4707",
"서울특별시","계","청년층(19-34세)","순이동[명]","명","","","","","","","","","","","-2","-1829","6136","-6228","550","17754","24941","40212","37228","18081",
"서울특별시","남자","계","순이동[명]","명","-56956","-39827","-32176","-33613","-25709","-31444","-34608","-31521","-63004","-60435","-56165","-55580","-49340","-74154","-74941","-55418","-62557","-33562","-41379","-58722",
"서울특별시","남자","0 - 4세","순이동[명]","명","-10276","-7599","-4800","-6288","-5866","-6625","-6232","-6098","-8780","-8154","-7494","-7392","-6593","-8122","-8615","-6960","-7929","-4995","-4627","-4745",
"서울특별시","남자","5 - 9세","순이동[명]","명","-1463","-1932","-241","-1083","-924","-1622","-1117","-1435","-3048","-2504","-2821","-2795","-2516","-3520","-3862","-2765","-3787","-1626","-2263","-2890",
"서울특별시","남자","10 - 14세","순이동[명]","명","2012","2295","2628","1712","1992","1305","1323","1170","-261","-462","-1099","-911","-717","-1369","-1721","-896","-1338","-346","-812","-1310",
"서울특별시","남자","15 - 19세","순이동[명]","명","-2413","-731","728","581","741","218","395","230","-1029","-1316","-1344","-1184","-389","-1147","-1294","-171","-312","653","-101","-689",
"서울특별시","남자","20 - 24세","순이동[명]","명","6467","2894","4628","5235","6717","6161","5101","5074","2884","3754","4889","4731","5662","4270","5571","6552","6190","7932","6967","6794",
