"행정구역별(읍면동)","연령별",2017,2018,2019,2020,2021
"행정구역별(읍면동)","연령별",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"전국","합계",51422507,51629512,51779203,51829136,51738071
"전국","0~4세",2102959,2000217,1881548,1722081,1570409
"전국","5~9세",2303030,2279824,2276617,2264595,2212372
"전국","10~14세",2276763,2262767,2234015,2267481,2304690
"전국","15~19세",2922140,2772966,2637341,2449561,2313299
"전국","20~24세",3517690,3484744,3413656,3364804,3223654
"전국","25~29세",3407757,3520222,3612505,3666212,3663127
"전국","30~34세",3447773,3339755,3304679,3301331,3332272
"전국","35~39세",4070681,4106922,3999744,3805470,3622347
"전국","40~44세",4037048,3910064,3855403,3906665,3981710
"전국","45~49세",4532957,4498819,4449226,4325697,4134223
"전국","50~54세",4122551,4196221,4322368,4372054,4477633
"전국","55~59세",4258232,4319504,4285702,4210645,4097916
"전국","60~64세",3251699,3482338,3689408,3885297,4097858
"전국","65~69세",2315195,2372155,2492232,2734187,2976607
"전국","70~74세",1756166,1829392,1926601,2027679,2089644
"전국","75~79세",1543849,1585750,1595168,1600867,1584604
"전국","80~84세",943418,1005673,1075010,1120781,1178836
"전국","85~89세",434947,467681,511197,563930,617681
"전국","90~94세",141555,153410,173427,192663,208758
"전국","95~99세",32154,36839,38482,41512,43868
"전국","100세이상",3943,4249,4874,5624,6563
"전국","15세미만",6682752,6542808,6392180,6254157,6087471
"전국","15~64세",37568528,37631555,37570032,37287736,36944039
"전국","65세이상",7171227,7455149,7816991,8287243,8706561
"전국","85세이상",612599,662179,727980,803729,876870
"전국","평균연령",41.3,41.8,42.4,42.9,43.5
"전국","중위연령",42.2,42.7,43.3,43.9,44.5
"서울특별시","합계",9741871,9673936,9639541,9586195,9472127
"서울특별시","0~4세",354174,328817,306901,278869,250141
"서울특별시","5~9세",363637,351631,347642,343206,331179
"서울특별시","10~14세",371556,363181,352373,353042,351446
"서울특별시","15~19세",496075,465785,443224,408748,382368
"서울특별시","20~24세",699945,691954,681005,664188,638048
"서울특별시","25~29세",777218,799023,821238,835286,832518
"서울특별시","30~34세",766607,738359,729069,734952,736967
"서울특별시","35~39세",806213,804461,778838,745117,706701
"서울특별시","40~44세",756546,720732,705535,709736,714467
"서울특별시","45~49세",847475,835977,817450,783563,736451
"서울특별시","50~54세",756194,757187,769856,773582,789330
"서울특별시","55~59세",790279,786431,769236,743817,712584
"서울특별시","60~64세",645887,673923,697227,712641,725537
"서울특별시","65~69세",458490,463507,481211,520889,559016
"서울특별시","70~74세",346471,360011,377160,391970,394383
"서울특별시","75~79세",268057,278840,285466,290634,292472
"서울특별시","80~84세",145012,156237,169625,179109,191672
"서울특별시","85~89세",64679,68170,73786,81514,89382
"서울특별시","90~94세",21748,23407,25898,28197,30015
"서울특별시","95~99세",4943,5626,6012,6251,6463
"서울특별시","100세이상",665,677,789,884,987
"서울특별시","15세미만",1089367,1043629,1006916,975117,932766
"서울특별시","15~64세",7342439,7273832,7212678,7111630,6974971
"서울특별시","65세이상",1310065,1356475,1419947,1499448,1564390
"서울특별시","85세이상",92035,97880,106485,116846,126847
"서울특별시","평균연령",41.5,41.9,42.4,42.9,43.4
"서울특별시","중위연령",41.6,42.1,42.5,42.9,43.4
"부산광역시","합계",3416918,3395278,3372692,3349016,3324335
"부산광역시","0~4세",124080,117270,108650,98637,89025
"부산광역시","5~9세",131344,130641,131200,131903,129223
"부산광역시","10~14세",129597,127020,124504,126187,129029
"부산광역시","15~19세",182238,170236,159525,144199,133751
"부산광역시","20~24세",240049,234572,226140,218047,208829
"부산광역시","25~29세",218670,223464,225555,226843,225547
"부산광역시","30~34세",208550,197580,192974,192718,195096
"부산광역시","35~39세",255424,253798,242964,227062,212116
"부산광역시","40~44세",244934,236317,232814,236830,243155
"부산광역시","45~49세",282671,276778,270887,260800,246880
"부산광역시","50~54세",270775,269069,272717,273734,275962
"부산광역시","55~59세",313603,308391,296549,281623,266432
"부산광역시","60~64세",264249,276347,285494,291543,299182
"부산광역시","65~69세",195683,198815,206460,224086,238468
"부산광역시","70~74세",140072,146932,155901,164547,172378
"부산광역시","75~79세",113527,119267,121817,122339,121326
"부산광역시","80~84세",62714,67136,72969,77700,83456
"부산광역시","85~89세",27890,29656,32198,35683,38874
"부산광역시","90~94세",8855,9707,10948,11847,12756
"부산광역시","95~99세",1785,2063,2153,2384,2513
"부산광역시","100세이상",208,219,273,304,337
"부산광역시","15세미만",385021,374931,364354,356727,347277
"부산광역시","15~64세",2481163,2446552,2405619,2353399,2306950
"부산광역시","65세이상",550734,573795,602719,638890,670108
"부산광역시","85세이상",38738,41645,45572,50218,54480
"부산광역시","평균연령",43.1,43.6,44.2,44.8,45.3
"부산광역시","중위연령",44.5,45.1,45.8,46.5,47.1
"대구광역시","합계",2453041,2444412,2429940,2410700,2387911
"대구광역시","0~4세",94482,89739,83746,75767,67629
"대구광역시","5~9세",105630,104033,103487,102474,100372
"대구광역시","10~14세",110571,107821,104830,104457,105005
"대구광역시","15~19세",147500,138818,131202,120738,111424
"대구광역시","20~24세",174218,171337,167561,164883,158547
"대구광역시","25~29세",155003,160410,161994,163122,162309
"대구광역시","30~34세",146261,140352,138781,138022,138675
"대구광역시","35~39세",180724,180401,172733,160788,150689
"대구광역시","40~44세",191103,181974,175876,175075,175521
"대구광역시","45~49세",224449,218536,213400,204666,193349
"대구광역시","50~54세",208698,211168,214280,214621,216592
"대구광역시","55~59세",211613,215213,211437,206714,199334
"대구광역시","60~64세",160684,166957,177148,185094,194611
"대구광역시","65~69세",118727,122153,124986,135142,144646
"대구광역시","70~74세",82570,86015,91533,97519,103563
"대구광역시","75~79세",72619,75948,76857,75796,73247
"대구광역시","80~84세",42997,46011,49325,51639,54585
"대구광역시","85~89세",18456,20069,22443,25076,27677
"대구광역시","90~94세",5490,6096,6870,7468,8413
"대구광역시","95~99세",1105,1226,1301,1454,1509
"대구광역시","100세이상",141,135,150,185,214
"대구광역시","15세미만",310683,301593,292063,282698,273006
"대구광역시","15~64세",1800253,1785166,1764412,1733723,1701051
"대구광역시","65세이상",342105,357653,373465,394279,413854
"대구광역시","85세이상",25192,27526,30764,34183,37813
"대구광역시","평균연령",41.6,42.1,42.7,43.3,43.9
"대구광역시","중위연령",43.1,43.7,44.3,45.0,45.7
"인천광역시","합계",2925967,2936117,2952237,2945454,2957044
"인천광역시","0~4세",124268,118036,111320,100431,92583
"인천광역시","5~9세",136093,134334,133686,131940,129296
"인천광역시","10~14세",131586,131033,130218,131690,134896
"인천광역시","15~19세",162955,154377,148004,137257,131154
"인천광역시","20~24세",197084,191027,187191,183896,175046
"인천광역시","25~29세",204316,211776,217524,218574,217238
"인천광역시","30~34세",204842,197752,195774,194775,200102
"인천광역시","35~39세",245608,246585,239555,225743,216944
"인천광역시","40~44세",236594,229935,228183,230990,238433
"인천광역시","45~49세",264819,261999,258677,251386,241442
"인천광역시","50~54세",248976,250929,256421,255672,260690
"인천광역시","55~59세",253235,258924,258996,255044,248673
"인천광역시","60~64세",175988,192973,208358,222461,238398
"인천광역시","65~69세",114342,118397,126286,141056,157992
"인천광역시","70~74세",85084,89707,95646,101005,102795
"인천광역시","75~79세",69168,71759,73266,74691,75904
"인천광역시","80~84세",41984,45096,48528,50540,53575
"인천광역시","85~89세",20262,21839,23659,26186,28804
"인천광역시","90~94세",6951,7571,8679,9644,10402
"인천광역시","95~99세",1607,1849,1993,2184,2300
"인천광역시","100세이상",205,219,273,289,377
"인천광역시","15세미만",391947,383403,375224,364061,356775
"인천광역시","15~64세",2194417,2196277,2198683,2175798,2168120
"인천광역시","65세이상",339603,356437,378330,405595,432149
"인천광역시","85세이상",29025,31478,34604,38303,41883
"인천광역시","평균연령",40.4,41.0,41.5,42.2,42.7
"인천광역시","중위연령",41.3,41.9,42.4,43.1,43.7
"광주광역시","합계",1496172,1490092,1489730,1477573,1475262
"광주광역시","0~4세",62390,59117,55212,50161,46442
"광주광역시","5~9세",73720,72461,71975,70839,68675
"광주광역시","10~14세",76924,74979,73432,73754,74192
"광주광역시","15~19세",101974,95991,90702,81777,77867
"광주광역시","20~24세",119367,118636,117694,113852,111615
"광주광역시","25~29세",97045,100269,104600,106966,108975
"광주광역시","30~34세",95426,89671,87174,86109,87425
"광주광역시","35~39세",118159,117599,113361,106220,100313
"광주광역시","40~44세",122387,117521,114858,115100,115496
"광주광역시","45~49세",135394,133365,133073,128960,123506
"광주광역시","50~54세",118620,121016,124598,126078,128776
"광주광역시","55~59세",112903,115081,114111,111673,111082
"광주광역시","60~64세",79969,85764,92620,98575,104581
"광주광역시","65~69세",60530,60852,61784,66517,70586
"광주광역시","70~74세",45550,47800,51048,53351,55041
"광주광역시","75~79세",38509,39582,39989,40661,40725
"광주광역시","80~84세",22271,24092,25592,27124,28908
"광주광역시","85~89세",10576,11432,12598,13701,14613
"광주광역시","90~94세",3562,3783,4267,4988,5215
"광주광역시","95~99세",804,978,917,1027,1064
"광주광역시","100세이상",92,103,125,140,165
"광주광역시","15세미만",213034,206557,200619,194754,189309
"광주광역시","15~64세",1101244,1094913,1092791,1075310,1069636
"광주광역시","65세이상",181894,188622,196320,207509,216317
"광주광역시","85세이상",15034,16296,17907,19856,21057
"광주광역시","평균연령",39.6,40.1,40.7,41.3,41.8
"광주광역시","중위연령",40.1,40.7,41.3,42.1,42.6
"대전광역시","합계",1525849,1511214,1498839,1488435,1479740
"대전광역시","0~4세",64234,59396,54516,48875,44193
"대전광역시","5~9세",70900,68890,67447,66365,63674
"대전광역시","10~14세",72938,71056,68743,68533,68619
"대전광역시","15~19세",100929,95355,90628,83574,78502
"대전광역시","20~24세",129500,127118,124362,123236,120355
"대전광역시","25~29세",107541,109138,111165,113202,114451
"대전광역시","30~34세",99955,95251,92983,92626,93871
"대전광역시","35~39세",117258,115195,110133,103463,97511
"대전광역시","40~44세",119963,114245,110297,109803,110452
"대전광역시","45~49세",135868,132763,129472,125131,118451
"대전광역시","50~54세",116530,119473,123737,124672,128354
"대전광역시","55~59세",120940,120602,118422,115148,109814
"대전광역시","60~64세",89692,95516,100048,104664,110624
"대전광역시","65~69세",60862,62122,65580,71436,78382
