"시점","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2002","총인구수 (명)",48229948,10207295,3730125,2525803,2577989,1397452,1419573,1065037,-,9927473,1538720,1492713,1907725,1953846,2054204,2756744,3124418,550831
"2002","남자인구수 (명)",24200192,5108964,1862520,1268530,1301499,693937,712653,546847,-,5012229,771945,750277,958290,971729,1022322,1380211,1564368,273871
"2002","여자인구수 (명)",24029756,5098331,1867605,1257273,1276490,703515,706920,518190,-,4915244,766775,742436,949435,982117,1031882,1376533,1560050,276960
"2003","총인구수 (명)",48386823,10174086,3691445,2529544,2570194,1395762,1432296,1072867,-,10206851,1527034,1489635,1912803,1954430,2017730,2720832,3139017,552297
"2003","남자인구수 (명)",24270143,5084908,1842405,1269880,1296989,693149,718968,551084,-,5150549,767294,748957,960719,970289,1004190,1363201,1572720,274841
"2003","여자인구수 (명)",24116680,5089178,1849040,1259664,1273205,702613,713328,521783,-,5056302,759740,740678,952084,984141,1013540,1357631,1566297,277456
"2004","총인구수 (명)",48583805,10173162,3666345,2524712,2578817,1401172,1443471,1081453,-,10462920,1521375,1488945,1953406,1906742,1986192,2695917,3143814,555362
"2004","남자인구수 (명)",24363083,5074686,1828634,1266254,1300343,695479,724588,555660,-,5277320,764803,749274,982648,948697,989227,1352420,1576357,276693
"2004","여자인구수 (명)",24220722,5098476,1837711,1258458,1278474,705693,718883,525793,-,5185600,756572,739671,970758,958045,996965,1343497,1567457,278669
"2005","총인구수 (명)",48782274,10167344,3638293,2511306,2600495,1401745,1454638,1087648,-,10697215,1513110,1488803,1962646,1885335,1967205,2688491,3160431,557569
"2005","남자인구수 (명)",24456234,5062492,1812599,1259092,1310759,695687,729818,558866,-,5395500,760642,749832,988191,938746,980392,1349437,1585900,278281
"2005","여자인구수 (명)",24326040,5104852,1825694,1252214,1289736,706058,724820,528782,-,5301715,752468,738971,974455,946589,986813,1339054,1574531,279288
"2006","총인구수 (명)",48991779,10181166,3611992,2496115,2624391,1407798,1466158,1092494,-,10906033,1505420,1494559,1974433,1868365,1942925,2688577,3172857,558496
"2006","남자인구수 (명)",24557004,5062107,1798940,1250849,1323375,698664,735595,561611,-,5499796,756894,752742,995826,930450,968861,1349830,1592610,278854
"2006","여자인구수 (명)",24434775,5119059,1813052,1245266,1301016,709134,730563,530883,-,5406237,748526,741817,978607,937915,974064,1338747,1580247,279642
"2007","총인구수 (명)",49268928,10192710,3587439,2493261,2664576,1413444,1475659,1099995,-,11106211,1503806,1506608,1995531,1862277,1929836,2681364,3196953,559258
